class_id,class_name,instances,small,medium,large,small_ratio,medium_ratio,large_ratio,precision,recall,ap50,ap50_95
0,person,1073,261,480,332,0.24324324324324326,0.4473438956197577,0.30941286113699906,0.844558168730459,0.679403541472507,0.7657374192928739,0.43735046891647916
1,boat,28,3,12,13,0.10714285714285714,0.42857142857142855,0.4642857142857143,0.6434942171641457,0.6785714285714286,0.7067002624805876,0.4531644513361237
2,animal,733,82,384,267,0.11186903137789904,0.5238744884038199,0.36425648021828105,0.8691517508997021,0.7271487039563438,0.7925287001572855,0.49535537462382295
3,seat,107,7,20,80,0.06542056074766354,0.18691588785046728,0.7476635514018691,0.8605234643950375,0.7009345794392523,0.7368486157746892,0.5893368907327964
4,sign,150,37,80,33,0.24666666666666667,0.5333333333333333,0.22,0.7878365231961554,0.6,0.5927687742741017,0.34952129839404655
5,bicycle,116,20,54,42,0.1724137931034483,0.46551724137931033,0.3620689655172414,0.7686826667727406,0.5443077268853322,0.671008942293102,0.417523603513615
6,car,288,10,190,88,0.034722222222222224,0.6597222222222222,0.3055555555555556,0.77412309073943,0.7777777777777778,0.8272239897795114,0.5042963797877345
7,ball,19,7,12,0,0.3684210526315789,0.631578947368421,0.0,1.0,0.5193026583287962,0.707051282051282,0.4253497636622637
8,light,244,13,130,101,0.05327868852459016,0.5327868852459017,0.4139344262295082,0.761525344622793,0.7131147540983607,0.7349244514861785,0.5001980073318668
9,garbage_can,57,9,28,20,0.15789473684210525,0.49122807017543857,0.3508771929824561,0.847476192667029,0.6823952852650379,0.7778664097237347,0.5066650401835036
10,uav,30,1,20,9,0.03333333333333333,0.6666666666666666,0.3,0.9659259533575464,0.9451859807021791,0.9566883116883116,0.5316514138035877
11,tricycle,2,0,0,2,0.0,0.0,1.0,0.9595171868336834,1.0,0.995,0.7955
